Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Product Description,Manufacturer
https://www.amazon.in/Classic-Leather-Laptop-Backpack-LBPCLSLTH1901/dp/B07G4CYC74/ref=sr_1_177?crid=2M096C61O4MLT&keywords=bags&qid=1685201038&sprefix=ba%2Caps%2C283&sr=8-177,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Tan,₹990,4.4 out of 5 stars,"2,422",Description not available,ASIN not available,Product description not available,Manufacturer not available
https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07D8ZLTT9/ref=sr_1_178?crid=2M096C61O4MLT&keywords=bags&qid=1685201038&sprefix=ba%2Caps%2C283&sr=8-178,ADISA Light Weight Laptop Backpack 32 Ltrs,₹499,4.0 out of 5 stars,"5,865",Description not available,ASIN not available,Product description not available,Manufacturer not available
https://www.amazon.in/Wildcraft-Turnaround-Polyester-Laptop-8903340000000/dp/B012D4QWES/ref=sr_1_179_mod_primary_new?crid=2M096C61O4MLT&keywords=bags&qid=1685201038&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=8-179,Wildcraft Turnaround Polyester 14 inch 27 Ltrs Blue Laptop Bag (8903340000000),"₹1,797",4.3 out of 5 stars,"3,292",Description not available,ASIN not available,Product description not available,Manufacturer not available
https://www.amazon.in/Toil-Moil-Mickey-Red-Spider-School/dp/B0BVMT6F5W/ref=sr_1_180?crid=2M096C61O4MLT&keywords=bags&qid=1685201038&sprefix=ba%2Caps%2C283&sr=8-180,Toil Moil Combo 4 Bag Panda Cute Kitty Mickey Red-Spider of Kids Bags for School 10Ltr,₹374,4.6 out of 5 stars,6,Description not available,ASIN not available,Product description not available,Manufacturer not available
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BHX7GY16/ref=sr_1_181?crid=2M096C61O4MLT&keywords=bags&qid=1685201038&sprefix=ba%2Caps%2C283&sr=8-181,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹749,3.9 out of 5 stars,"2,778",Description not available,ASIN not available,Product description not available,Manufacturer not available
https://www.amazon.in/Gear-Bounce-Backpack-Grey-Orange-BKPBOUNCE0604/dp/B097KCLF5F/ref=sr_1_182?crid=2M096C61O4MLT&keywords=bags&qid=1685201038&sprefix=ba%2Caps%2C283&sr=8-182,Gear Bounce 27 Ltrs Water Resistant School Bag/Backpack/College Bag for Men/Women-Grey Orange,₹593,3.6 out of 5 stars,424,Description not available,ASIN not available,Product description not available,Manufacturer not available
https://www.amazon.in/American-Tourister-Polyester-Compartment-Backpack/dp/B0BWFFFT5H/ref=sr_1_183?crid=2M096C61O4MLT&keywords=bags&qid=1685201038&sprefix=ba%2Caps%2C283&sr=8-183,"American Tourister Sest+ Polyester 2 Compartment Unisex Backpack (Grey,Frsz)","₹1,430",4.1 out of 5 stars,9,Description not available,ASIN not available,Product description not available,Manufacturer not available
https://www.amazon.in/Lavie-Sport-Casual-Backpack-Charge/dp/B083KW31YD/ref=sr_1_184?crid=2M096C61O4MLT&keywords=bags&qid=1685201038&sprefix=ba%2Caps%2C283&sr=8-184,Lavie Sport Charge 36 litres Backpack with Laptop Sleeve | School College Bag for Boys & Girls,₹839,3.9 out of 5 stars,298,Description not available,ASIN not available,Product description not available,Manufacturer not available
https://www.amazon.in/Red-Lemon-Shoulder-Resistant-Electronic/dp/B0BT82BKCN/ref=sr_1_185?crid=2M096C61O4MLT&keywords=bags&qid=1685201038&sprefix=ba%2Caps%2C283&sr=8-185,Red Lemon Arctic Hunter Mens Small Sling Bag Chest Bag Shoulder Bag Mobile Bag Side Bag with Earphone Port Water Resistant for Everyday Use Small Items and Small Electronic Product (Black),"₹1,299",3.7 out of 5 stars,7,Description not available,ASIN not available,Product description not available,Manufacturer not available
https://www.amazon.in/Bennett-15-6-inch-Repellent-Backpack-ben_cas_blue/dp/B09WZKB54G/ref=sr_1_186?crid=2M096C61O4MLT&keywords=bags&qid=1685201038&sprefix=ba%2Caps%2C283&sr=8-186,"Bennett 15.6 inch Laptop Bag Men/Women, 25 L Water Resistant School/College Backpack with Padded Laptop Compartment for Apple/Dell/Lenovo/Asus/Hp/Mi/MacBook/Ultrabook/Thinkpad/Ideapad (Blue)",₹512,3.9 out of 5 stars,578,Description not available,ASIN not available,Product description not available,Manufacturer not available
